ArticleID,Source,race,race_w2v,cigarillos,cigarillos_w2v,youth,youth_w2v,egal_w2v,ind_w2v,protest,riot,michael_brown,dead_blacks,n_words
dallas22,DallasMorningNews,3.0,0.129051569069,0.0,0.0530736644548,0.0,0.0974566756462,0.0981042994179,0.106534679225,3,1,1,0,1043
dallas23,DallasMorningNews,3.0,0.133919189679,0.0,0.0568696547094,0.0,0.0906552717234,0.136922592557,0.15636060483,0,1,1,0,828
dallas24,DallasMorningNews,5.0,0.142825182767,0.0,0.057672527999,0.0,0.111119645529,0.133091406889,0.161667551755,0,0,2,0,835
dallas25,DallasMorningNews,1.0,0.123923729192,0.0,0.048978770839,0.0,0.0982336279128,0.106761427735,0.112794268158,3,0,1,0,488
dallas26,DallasMorningNews,1.0,0.114185060015,0.0,0.0638442267707,0.0,0.101636737705,0.0822049780779,0.0980944568281,0,0,0,0,211
dallas27,DallasMorningNews,1.0,0.12338239387,0.0,0.0325064723445,0.0,0.100178858516,0.105051738435,0.118249992055,0,1,0,0,906
dallas28,DallasMorningNews,3.0,0.124392877781,0.0,0.0573008391958,0.0,0.089836118117,0.10076993524,0.109735238961,1,0,1,0,411
freep1,DetroitFreePress,1.0,0.114270859862,0.0,0.0610727218817,0.0,0.0967465241953,0.0735173721508,0.0813625289185,0,0,0,0,164
freep2,DetroitFreePress,6.0,0.12902676035,1.0,0.0624449317305,0.0,0.0982540667755,0.098394591821,0.109639915758,11,1,1,0,1151
freep3,DetroitFreePress,7.0,0.122867192268,0.0,0.0514641806908,0.0,0.0954589698816,0.0951051301262,0.102594689581,11,1,3,0,1101
freep4,DetroitFreePress,3.0,0.130593032373,0.0,0.0422844637976,0.0,0.0989972892876,0.117383062963,0.128218664541,13,4,4,0,1467
freep5,DetroitFreePress,5.0,0.121845926286,0.0,0.0466264489777,0.0,0.0978257372179,0.109369195809,0.124592275105,15,0,1,0,1222
freep6,DetroitFreePress,8.0,0.133392388944,0.0,0.0553265917574,0.0,0.10246784939,0.117360606657,0.134724686279,15,0,1,0,1108
freep7,DetroitFreePress,2.0,0.137002915334,0.0,0.0634130101187,0.0,0.0995722784554,0.129367383537,0.142658240213,1,2,2,1,792
freep8,DetroitFreePress,6.0,0.126281693973,0.0,0.0495525711013,0.0,0.09474076018,0.110358646354,0.123842938868,10,0,1,0,864
freep9,DetroitFreePress,1.0,0.122706497421,0.0,0.0380183336643,0.0,0.0948604121306,0.0917226788078,0.10763646435,0,0,1,0,216
freep10,DetroitFreePress,4.0,0.124053528066,0.0,0.0561351336285,0.0,0.0911167266529,0.0950071725667,0.105237916256,8,4,1,0,1003
freep11,DetroitFreePress,3.0,0.124436670244,0.0,0.0496714116789,0.0,0.0936930204849,0.104169243324,0.111764475139,9,0,1,0,1050
freep12,DetroitFreePress,4.0,0.130419185262,0.0,0.0492537638664,0.0,0.0987292651755,0.0975929604682,0.109914644281,1,1,3,2,434
freep13,DetroitFreePress,2.0,0.127915794168,0.0,0.0485846929541,0.0,0.0956255345898,0.112915841666,0.116631213117,6,2,2,0,689
freep14,DetroitFreePress,21.0,0.15028316691,0.0,0.0557924319067,0.0,0.0950516482552,0.128741383789,0.134290248134,1,2,1,0,1111
freep15,DetroitFreePress,14.0,0.138847923516,0.0,0.0467277730969,0.0,0.0914137014034,0.113864951701,0.11937429123,1,2,2,0,1194
freep16,DetroitFreePress,12.0,0.182363412852,0.0,0.048853880941,0.0,0.102142818342,0.137947430106,0.132976093456,0,0,1,0,535
